geo_id,metro_name,state,PC1,PC2,PC3,median_income
43020,"Shawano, WI",Wisconsin,-1.368477293,-32.31514795,1.268124741,55152
34660,"Murray, KY",Kentucky,-1.280529798,-32.21019666,0.929057506,42273
14700,"Branson, MO",Missouri,-1.499883514,-32.63188963,1.344950874,46031
41820,"Sanford, NC",North Carolina,-1.529339741,-32.63804221,1.373456004,49994
34700,"Muscatine, IA",Iowa,-1.323989067,-32.64741203,1.85361701,58453
38240,"Pinehurst-Southern Pines, NC",North Carolina,-2.158025269,-34.14562617,2.577534963,59963
41100,"St. George, UT",Utah,-2.995877393,-35.2884285,3.113482111,59839
17860,"Columbia, MO",Missouri,-3.628269726,-33.7956892,1.723677698,54808
31180,"Lubbock, TX",Texas,-5.010675139,-33.72628651,0.804022435,51942
33780,"Monroe, MI",Michigan,-2.686069001,-33.51708364,2.061278697,62203
38340,"Pittsfield, MA",Massachusetts,-2.641993736,-33.70735525,3.060497375,59230
11100,"Amarillo, TX",Texas,-4.186458456,-33.34366474,1.073320687,55515
33540,"Missoula, MT",Montana,-2.554449331,-34.61442881,2.998303431,54062
40460,"Rockingham, NC",North Carolina,-1.292448805,-31.5339247,0.186533715,36148
28700,"Kingsport-Bristol, TN-VA",Tennessee,-4.61090047,-32.53522135,0.158066142,44869
16740,"Charlotte-Concord-Gastonia, NC-SC",North Carolina,-33.17285803,-37.74317315,-4.051067412,63217
45940,"Trenton-Princeton, NJ",New Jersey,-5.857541678,-35.97282103,5.08003934,81057
18020,"Columbus, IN",Indiana,-1.878871321,-33.50234873,2.361156461,63431
21660,"Eugene-Springfield, OR",Oregon,-5.896766293,-34.96258276,2.274048475,52426
11900,"Athens, OH",Ohio,-1.679084163,-32.37024539,0.857166148,40905
12060,"Atlanta-Sandy Springs-Roswell, GA",Georgia,-74.59978298,-38.01267186,-8.069586967,68316
39220,"Price, UT",Utah,-1.004432293,-32.18704823,1.308017009,51158
38500,"Plymouth, IN",Indiana,-1.339224632,-32.49394921,1.517012606,52658
23700,"Gallup, NM",New Mexico,-1.96855862,-32.19288711,-1.628312199,33834
29340,"Lake Charles, LA",Louisiana,-3.486449998,-33.44059588,1.032655082,51196
49660,"Youngstown-Warren, OH",Ohio,-7.677509354,-32.20196668,-0.201356678,47360
44740,"Storm Lake, IA",Iowa,-1.007658836,-32.04275564,1.424192435,57125
16580,"Champaign-Urbana, IL",Illinois,-3.972053207,-33.52523213,1.669945808,53641
25860,"Hickory-Lenoir-Morganton, NC",North Carolina,-5.382273953,-32.87855065,-0.146253872,48114
40660,"Rome, GA",Georgia,-1.97647789,-32.38991614,1.136741799,48336
25180,"Hagerstown-Martinsburg, MD-WV",Maryland,-4.47580371,-34.16397011,2.103479991,61138
26140,"Homosassa Springs, FL",Florida,-2.624405137,-32.96136127,1.157896544,44237
22300,"Findlay, OH",Ohio,-1.783808884,-32.90519172,1.882480997,58450
35060,"Natchitoches, LA",Louisiana,-1.296177418,-32.04505445,0.412596548,28567
48940,"Wilmington, OH",Ohio,-1.299356914,-32.45511229,1.523765474,52815
14380,"Boone, NC",North Carolina,-1.709813131,-34.04049969,2.389720907,47526
26420,"Houston-Pasadena-The Woodlands, TX",Texas,-87.3810118,-44.58565756,-15.90481214,67516
27540,"Jasper, IN",Indiana,-1.433094983,-32.52351905,1.560486233,57849
21260,"Ellensburg, WA",Washington,-1.644600599,-34.98026877,3.516480788,56004
11980,"Athens, TX",Texas,-1.813818621,-32.53335925,0.882510816,47355
40700,"Roseburg, OR",Oregon,-2.250815084,-33.22439898,1.779569304,47267
25620,"Hattiesburg, MS",Mississippi,-2.910628131,-32.88448059,0.762520624,46800
27600,"Jefferson, GA",Georgia,-1.652476185,-33.71844065,2.255204878,65385
16540,"Chambersburg, PA",Pennsylvania,-2.780671931,-33.68367689,2.303615661,63379
19540,"Decatur, IN",Indiana,-1.125888,-31.85495524,1.077183468,52504
21380,"Emporia, KS",Kansas,-1.230606616,-31.95632495,0.912956208,46217
20820,"Effingham, IL",Illinois,-1.204526435,-32.47650977,1.609087278,56685
10220,"Ada, OK",Oklahoma,-1.292595432,-32.37719207,1.142034541,50392
48820,"Willmar, MN",Minnesota,-1.385722602,-33.23817344,2.2709116,60294
32380,"Mason City, IA",Iowa,-1.439133352,-32.2214301,1.659658303,54388
30420,"Lexington, NE",Nebraska,-1.075360468,-32.10477753,1.317461697,54716
36830,"Othello, WA",Washington,-1.028801768,-32.4977673,1.344048611,48294
25820,"Hereford, TX",Texas,-0.926990996,-31.71141643,0.952125038,49701
15460,"Burlington, IA-IL",Illinois,-1.36671815,-32.14732444,1.39202818,51667
19500,"Decatur, IL",Illinois,-2.115028304,-32.00149686,0.983097603,50480
37460,"Panama City-Panama City Beach, FL",Florida,-3.398935812,-34.24935063,2.032256801,54316
11540,"Appleton, WI",Wisconsin,-3.814932806,-33.91469868,2.039225393,67616
49700,"Yuba City, CA",California,-3.12965502,-34.81753388,2.867954423,58551
18620,"Corsicana, TX",Texas,-1.385629855,-32.27419291,0.987916557,48529
15780,"Camden, AR",Arkansas,-0.999874072,-30.8526713,0.054893402,37220
36700,"Orangeburg, SC",South Carolina,-1.868606483,-31.67843606,0.069851093,37955
45060,"Syracuse, NY",New York,-9.229805296,-33.47544794,0.867238025,60337
45460,"Terre Haute, IN",Indiana,-3.126284655,-32.1584338,0.515715904,48591
30700,"Lincoln, NE",Nebraska,-5.250145027,-34.055506,1.791019459,61031
29820,"Las Vegas-Henderson-North Las Vegas, NV",Nevada,-29.11276027,-37.35009715,-1.399659637,59340
37900,"Peoria, IL",Illinois,-5.902699047,-33.07637148,0.951074905,59397
43260,"Sheridan, WY",Wyoming,-1.323704226,-34.24981857,3.397363331,60807
16940,"Cheyenne, WY",Wyoming,-2.224559315,-34.66059039,3.115497969,66910
30380,"Lewistown, PA",Pennsylvania,-1.289639079,-31.74806069,1.181987777,50219
46860,"Vernal, UT",Utah,-1.320552754,-33.70724421,2.229731109,65264
22380,"Flagstaff, AZ",Arizona,-3.216568853,-36.08927712,2.368592154,59460
29260,"La Grande, OR",Oregon,-1.175761611,-33.03457487,2.172291554,52171
42780,"Selinsgrove, PA",Pennsylvania,-1.290384192,-32.71531009,1.951449866,58997
19700,"Deming, NM",New Mexico,-0.952765517,-31.01979981,-0.135444002,29360
24330,"Grand Rapids, MN",Minnesota,-1.403183347,-32.95935723,1.92049372,55139
46100,"Tullahoma-Manchester, TN",Tennessee,-2.077010852,-32.65854417,1.244150659,51361
17780,"College Station-Bryan, TX",Texas,-4.356771689,-34.27095291,1.29160275,50240
16180,"Carson City, NV",Nevada,-1.679624948,-34.42211196,3.291288177,55718
24660,"Greensboro-High Point, NC",North Carolina,-10.79667552,-33.88032302,-0.483709891,50891
45780,"Toledo, OH",Ohio,-9.239819484,-32.9643361,-0.037458825,52601
28140,"Kansas City, MO-KS",Kansas,-27.5585715,-36.34282267,-1.920274783,66632
25300,"Hannibal, MO",Missouri,-1.222095997,-32.01619484,1.17642869,50960
21900,"Fairmont, WV",West Virginia,-1.468315096,-32.03457925,1.232955301,50305
22340,"Fitzgerald, GA",Georgia,-0.859146683,-31.02138304,0.038380128,32229
14220,"Bogalusa, LA",Louisiana,-1.273277857,-31.53606288,0.364790273,37570
23980,"Glasgow, KY",Kentucky,-1.354017553,-31.69430333,0.556870618,40899
14740,"Bremerton-Silverdale-Port Orchard, WA",Washington,-4.544797155,-37.00604376,4.779570735,75411
46660,"Valdosta, GA",Georgia,-2.680182184,-32.65169436,0.487659945,41647
46700,"Vallejo, CA",California,-6.838039569,-38.3042943,6.061246072,81472
21420,"Enid, OK",Oklahoma,-1.59186382,-32.61615449,1.411535653,54006
20980,"El Dorado, AR",Arkansas,-1.20608764,-31.77981653,0.66699471,44663
41700,"San Antonio-New Braunfels, TX",Texas,-31.34805398,-37.93646997,-4.615876335,60327
29180,"Lafayette, LA",Louisiana,-7.035823521,-34.1178156,-0.432502011,51955
32700,"McPherson, KS",Kansas,-1.164237093,-32.73178125,2.03561752,59089
24620,"Greeneville, TN",Tennessee,-1.573276469,-31.93379264,0.710247818,42595
11060,"Altus, OK",Oklahoma,-1.070198691,-32.01233303,1.059563199,49703
19180,"Danville, IL",Illinois,-1.670393637,-31.37876463,0.629468537,46515
11820,"Astoria, OR",Oregon,-1.454295966,-34.26125312,3.471491922,54886
18880,"Crestview-Fort Walton Beach-Destin, FL",Florida,-4.620330027,-35.45572059,2.655586645,62161
47980,"Watertown, SD",South Dakota,-1.261608577,-33.04419682,2.021596982,58503
21020,"Elizabeth City, NC",North Carolina,-1.503888,-33.1345392,1.872621622,49788
18580,"Corpus Christi, TX",Texas,-6.246018833,-33.96389621,0.8150599,56013
47660,"Warrensburg, MO",Missouri,-1.507982467,-33.10386431,1.701658563,55273
11740,"Ashland, OH",Ohio,-1.40565371,-32.10728497,1.356633954,52823
47540,"Wapakoneta, OH",Ohio,-1.337104567,-32.69102772,1.999153107,64074
37620,"Parkersburg-Vienna, WV",West Virginia,-1.91971827,-32.22038644,1.090198142,47218
40860,"Rutland, VT",Vermont,-1.630918557,-33.33564594,2.481680111,56139
14010,"Bloomington, IL",Illinois,-3.150776217,-33.83568169,2.26083611,67675
26860,"Indiana, PA",Pennsylvania,-1.87888243,-32.30347921,1.097135904,49320
10460,"Alamogordo, NM",New Mexico,-1.665576048,-32.46862497,0.684940288,41988
31140,"Louisville/Jefferson County, KY-IN",Indiana,-16.74415823,-34.47819573,-0.612481942,59158
29540,"Lancaster, PA",Pennsylvania,-7.615962384,-34.8339799,2.071294838,66056
44460,"Steamboat Springs, CO",Colorado,-1.646919167,-38.15861856,7.003673411,77443
39020,"Portsmouth, OH",Ohio,-1.6436513,-31.52068024,0.439180985,41330
42300,"Sault Ste. Marie, MI",Michigan,-1.285600981,-32.08950067,0.869531661,46486
34620,"Muncie, IN",Indiana,-2.278551291,-31.87311386,0.638637035,43512
49740,"Yuma, AZ",Arizona,-3.479399864,-33.38265757,0.106164264,45243
